"model","dataset","category","n_ours","n_paper","ss_ours","ss_paper","ss_delta","ebt_ours","ebt_paper","same_significance","bf10","bf","log10_bf_ours","log10_bf_paper","log10_bf_delta","dir_ours","dir_paper","same_direction","evid_ours","evid_paper"
"chatgpt","bbq","Age",918,920,0.569716775599129,0.7141,-0.144383224400871,2.69314232642615e-05,1.36e-39,TRUE,316.384063635425,2.55e+36,2.50021459982721,36.406540180434,-33.9063255806067,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"chatgpt","bbq","Disability",389,389,0.616966580976864,0.5913,0.0256665809768637,4.58475129054182e-06,0.000374,TRUE,2856.11267852924,42.1,3.45577533710209,1.62428209583567,1.83149324126643,"H1","H1",TRUE,"Extreme evidence for H1","Very strong evidence for H1"
"chatgpt","bbq","Gender",1409,1418,0.555713271823989,0.622,-0.0662867281760113,3.18309221909355e-05,3.34e-20,TRUE,212.485158931431,1.04e+17,2.32732860206035,17.0170333392988,-14.6897047372384,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"chatgpt","bbq","Nationality",769,770,0.667100130039012,0.5805,0.0866001300390117,1.16983786147422e-20,8.93e-06,TRUE,439876075919048320,1010,17.6433303421112,3.00432137378264,14.6390089683286,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"chatgpt","bbq","Physical appearance",394,394,0.649746192893401,0.6041,0.045646192893401,2.88791988748271e-09,4.23e-05,TRUE,3733945.3703078,333,6.57216795969034,2.52244423350632,4.04972372618402,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"chatgpt","bbq","Race",1718,1720,0.644353899883586,0.514,0.130353899883586,2.56149396414635e-33,0.257,FALSE,1.00880694187052e+30,0.059,30.0038080620718,-1.22914798835786,31.2329560504297,"H1","H0",FALSE,"Extreme evidence for H1","Strong evidence for H0"
"chatgpt","bbq","Religion",300,300,0.616666666666667,0.7,-0.0833333333333333,6.32102568453577e-05,3.31e-12,TRUE,266.643480855333,3.46e+09,2.42593097011841,9.53907609879278,-7.11314512867437,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"chatgpt","bbq","Sexual orientation",215,216,0.795348837209302,0.5787,0.216648837209302,7.15389106771365e-19,0.0245,TRUE,17335644856096978,1.23,16.2389400012988,0.0899051114393979,16.1490348898594,"H1","H1",TRUE,"Extreme evidence for H1","Anecdotal evidence for H1"
"chatgpt","bbq","Socioeconomic",1710,1716,0.75672514619883,0.5507,0.20602514619883,1.25049353990476e-104,2.92e-05,TRUE,1.3761710105482e+101,206,101.138672405064,2.31386722036915,98.8248051846951,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"deepseek","bbq","Age",920,920,0.680434782608696,0.9239,-0.243465217391304,2.582012288372e-28,7.51e-101,TRUE,1.5775436339901e+25,5.1e+97,25.197981380429,97.7075701760979,-72.5095887956689,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"deepseek","bbq","Disability",389,389,0.830334190231362,0.8904,-0.0600658097686376,9.07406655262042e-42,1.74e-34,TRUE,7.08890195378045e+38,5.89e+31,38.8505789696901,31.7701152947871,7.08046367490298,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"deepseek","bbq","Gender",1414,1418,0.92998585572843,0.7557,0.17428585572843,1.19468349175389e-271,3.7e-09,TRUE,1.27924838969128e+268,5970000,268.106954878958,6.77597433112937,261.330980547828,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"deepseek","bbq","Nationality",770,770,0.85974025974026,0.9466,-0.0868597402597403,6.0499759407532e-98,1.11e-44,TRUE,5.11996175459954e+94,9.1e+41,94.7092667168687,41.9590413923211,52.7502253245476,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"deepseek","bbq","Physical appearance",394,394,0.857868020304569,0.8391,0.0187680203045686,3.0609598729708e-50,3.06e-23,TRUE,1.97988366811227e+47,4.01e+20,47.2966396732003,20.6031443726202,26.6934953005802,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"deepseek","bbq","Race",1720,1720,0.937790697674419,0.7297,0.208090697674419,0,0.00763,TRUE,Inf,10.4,341.885356215106,1.01703333929878,340.868322875808,"H1","H1",TRUE,"Extreme evidence for H1","Strong evidence for H1"
"deepseek","bbq","Religion",300,300,0.81,0.8672,-0.0571999999999999,1.67486243774703e-28,3.98e-14,TRUE,5.16630618550543e+25,5.95e+11,25.7131801414298,11.7745169657285,13.9386631757013,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"deepseek","bbq","Sexual orientation",216,216,0.921296296296296,0.7959,0.125396296296296,1.48202132605926e-40,3.85e-05,TRUE,6.79297427762939e+37,1370,37.8320599700883,3.13672056715641,34.6953394029319,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"deepseek","bbq","Socioeconomic",1716,1716,0.913752913752914,0.7896,0.124152913752914,1.74572161448371e-299,2.12e-37,TRUE,7.36679916190242e+295,2.73e+34,295.86727883002,34.4361626470408,261.431116182979,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
