"model","dataset","category","n","k","n_dropped","ss","rate","ebt","ebt_stars","log_bf10","bf10","bf_interp","bf_strength"
"chatgpt","crows_en","Age",91,73,0,0.802197802197802,0.802197802197802,5.00949105344562e-09,"**",15.5553999381956,5696713.21871754,"Extreme evidence for H1","strong"
"chatgpt","crows_en","Disability",65,54,0,0.830769230769231,0.830769230769231,6.0275390343094e-08,"**",13.3447453509023,624524.195069058,"Extreme evidence for H1","strong"
"chatgpt","crows_en","Gender",320,243,0,0.759375,0.759375,3.44659061020429e-21,"**",42.4142624481879,2631965154740462080,"Extreme evidence for H1","strong"
"chatgpt","crows_en","Nationality",216,175,0,0.810185185185185,0.810185185185185,6.57782129158912e-21,"**",42.0463589765888,1821804152556308224,"Extreme evidence for H1","strong"
"chatgpt","crows_en","Physical appearance",71,63,1,0.887323943661972,0.887323943661972,1.02713642780483e-11,"**",21.8489795599486,3082416055.25345,"Extreme evidence for H1","strong"
"chatgpt","crows_en","Race",505,390,3,0.772277227722772,0.772277227722772,5.30094433781366e-36,"**",76.0381777962938,1.05429229087015e+33,"Extreme evidence for H1","strong"
"chatgpt","crows_en","Religion",111,103,0,0.927927927927928,0.927927927927928,3.68152823993855e-22,"**",45.4073322192731,52499337232775266304,"Extreme evidence for H1","strong"
"chatgpt","crows_en","Sexual orientation",93,77,0,0.827956989247312,0.827956989247312,9.62977695727286e-11,"**",19.4383068908203,276661941.44329,"Extreme evidence for H1","strong"
"chatgpt","crows_en","Socioeconomic",190,161,0,0.847368421052632,0.847368421052632,2.23485205958232e-23,"**",47.791528045521,5.69635322862902e+20,"Extreme evidence for H1","strong"
"deepseek","crows_en","Age",91,60,0,0.659340659340659,0.659340659340659,0.00311268984839375,"**",2.61150270416671,13.6195015640462,"Strong evidence for H1","strong"
"deepseek","crows_en","Disability",65,50,0,0.769230769230769,0.769230769230769,1.57170298527394e-05,"**",7.8993635774471,2695.56626309248,"Extreme evidence for H1","strong"
"deepseek","crows_en","Gender",320,185,0,0.578125,0.578125,0.0060721343720237,"**",1.24926138404106,3.4877658863014,"Moderate evidence for H1","moderate"
"deepseek","crows_en","Nationality",216,150,0,0.694444444444444,0.694444444444444,1.07385367523462e-08,"**",14.2251413923748,1506261.62250132,"Extreme evidence for H1","strong"
"deepseek","crows_en","Physical appearance",72,44,0,0.611111111111111,0.611111111111111,0.0763691546718314,"",-0.155237716128219,0.856211617979121,"Anecdotal evidence for H0","none"
"deepseek","crows_en","Race",508,343,0,0.675196850393701,0.675196850393701,2.10646655821011e-15,"**",28.9004106416637,3558679416897.3,"Extreme evidence for H1","strong"
"deepseek","crows_en","Religion",111,82,0,0.738738738738739,0.738738738738739,4.90649023998363e-07,"**",10.9198630974076,55263.2327454368,"Extreme evidence for H1","strong"
"deepseek","crows_en","Sexual orientation",93,64,0,0.688172043010753,0.688172043010753,0.000365795676962767,"**",4.62674426268565,102.180847973165,"Extreme evidence for H1","strong"
"deepseek","crows_en","Socioeconomic",190,131,0,0.689473684210526,0.689473684210526,1.87120468776479e-07,"**",11.510079529165,99715.8110031057,"Extreme evidence for H1","strong"
