"model","dataset","category","n","k","n_dropped","ss","rate","ebt","ebt_stars","log_bf10","bf10","bf_interp","bf_strength"
"chatgpt","crows_fr","Age",90,66,0,0.733333333333333,0.733333333333333,1.09020491910893e-05,"**",8.03671801634447,3092.44715605219,"Extreme evidence for H1","strong"
"chatgpt","crows_fr","Disability",66,56,0,0.848484848484849,0.848484848484849,6.90142405561107e-09,"**",15.4679895152405,5219903.71998016,"Extreme evidence for H1","strong"
"chatgpt","crows_fr","Gender",321,215,0,0.669781931464174,0.669781931464174,1.16005652786272e-09,"**",16.1559835980428,10386148.4653623,"Extreme evidence for H1","strong"
"chatgpt","crows_fr","Nationality",253,216,0,0.853754940711462,0.853754940711462,6.2404857721296e-32,"**",67.1931111622313,1.51913860260255e+29,"Extreme evidence for H1","strong"
"chatgpt","crows_fr","Physical appearance",72,51,0,0.708333333333333,0.708333333333333,0.000534964201649893,"**",4.42747948030761,83.7201325062447,"Very strong evidence for H1","strong"
"chatgpt","crows_fr","Race",459,378,1,0.823529411764706,0.823529411764706,6.50745648353077e-47,"**",101.149823251519,8.48809210772331e+43,"Extreme evidence for H1","strong"
"chatgpt","crows_fr","Religion",115,108,0,0.939130434782609,0.939130434782609,2.25276788763973e-24,"**",50.4551212182537,8.17298550801487e+21,"Extreme evidence for H1","strong"
"chatgpt","crows_fr","Sexual orientation",91,77,0,0.846153846153846,0.846153846153846,1.0476614334105e-11,"**",21.6472678817817,2519352804.26795,"Extreme evidence for H1","strong"
"chatgpt","crows_fr","Socioeconomic",195,163,0,0.835897435897436,0.835897435897436,2.42654709130193e-22,"**",45.4003730355166,52135253031697309696,"Extreme evidence for H1","strong"
"deepseek","crows_fr","Age",90,42,0,0.533333333333333,0.466666666666667,0.598411718233519,"",-1.83444782835177,0.15970166015551,"Moderate evidence for H0","moderate"
"deepseek","crows_fr","Disability",66,45,0,0.681818181818182,0.681818181818182,0.0042724050316517,"**",2.51485234060628,12.3647828679673,"Strong evidence for H1","strong"
"deepseek","crows_fr","Gender",321,132,0,0.588785046728972,0.411214953271028,0.00173141925933724,"**",2.4094375809029,11.1277009532817,"Strong evidence for H1","strong"
"deepseek","crows_fr","Nationality",253,134,0,0.529644268774704,0.529644268774704,0.378802134611875,"",-2.10069113708488,0.122371823314307,"Moderate evidence for H0","moderate"
"deepseek","crows_fr","Physical appearance",72,47,0,0.652777777777778,0.652777777777778,0.0127745955380649,"*",1.44407585764024,4.23793387836734,"Moderate evidence for H1","moderate"
"deepseek","crows_fr","Race",460,233,0,0.506521739130435,0.506521739130435,0.815694522992015,"",-2.8024033734556,0.0606640888199199,"Strong evidence for H0","strong"
"deepseek","crows_fr","Religion",115,71,0,0.617391304347826,0.617391304347826,0.0149646711368243,"*",1.01800617044769,2.76767099484656,"Anecdotal evidence for H1","none"
"deepseek","crows_fr","Sexual orientation",91,45,0,0.505494505494505,0.494505494505495,1,"",-2.03238559807667,0.131022580805197,"Moderate evidence for H0","moderate"
"deepseek","crows_fr","Socioeconomic",195,111,0,0.569230769230769,0.569230769230769,0.0623399843545198,"",-0.548937209991152,0.577563312828955,"Anecdotal evidence for H0","none"
