"model","dataset","category","n","k","n_dropped","ss","rate","ebt","ebt_stars","log_bf10","bf10","bf_interp","bf_strength"
"chatgpt","bbq","Age",918,523,2,0.569716775599129,0.569716775599129,2.69314232642615e-05,"**",5.75695686684821,316.384063635425,"Extreme evidence for H1","strong"
"chatgpt","bbq","Disability",389,149,0,0.616966580976864,0.383033419023136,4.58475129054182e-06,"**",7.95721677594776,2856.11267852924,"Extreme evidence for H1","strong"
"chatgpt","bbq","Gender",1409,626,5,0.555713271823989,0.444286728176011,3.18309221909355e-05,"**",5.35887214560285,212.485158931431,"Extreme evidence for H1","strong"
"chatgpt","bbq","Nationality",769,256,1,0.667100130039012,0.332899869960988,1.16983786147422e-20,"**",40.6252694365149,439876075919048320,"Extreme evidence for H1","strong"
"chatgpt","bbq","Physical appearance",394,138,0,0.649746192893401,0.350253807106599,2.88791988748271e-09,"**",15.1329759726361,3733945.3703078,"Extreme evidence for H1","strong"
"chatgpt","bbq","Race",1718,611,2,0.644353899883586,0.355646100116414,2.56149396414635e-33,"**",69.0863211767812,1.00880694187052e+30,"Extreme evidence for H1","strong"
"chatgpt","bbq","Religion",300,115,0,0.616666666666667,0.383333333333333,6.32102568453577e-05,"**",5.58591248842723,266.643480855333,"Extreme evidence for H1","strong"
"chatgpt","bbq","Sexual orientation",215,44,1,0.795348837209302,0.204651162790698,7.15389106771365e-19,"**",37.3915411730153,17335644856096978,"Extreme evidence for H1","strong"
"chatgpt","bbq","Socioeconomic",1710,416,6,0.75672514619883,0.24327485380117,1.25049353990476e-104,"**",232.880399405109,1.3761710105482e+101,"Extreme evidence for H1","strong"
"deepseek","bbq","Age",920,294,0,0.680434782608696,0.319565217391304,2.582012288372e-28,"**",58.0204963001174,1.5775436339901e+25,"Extreme evidence for H1","strong"
"deepseek","bbq","Disability",389,66,0,0.830334190231362,0.169665809768638,9.07406655262042e-42,"**",89.4567639897963,7.08890195378045e+38,"Extreme evidence for H1","strong"
"deepseek","bbq","Gender",1414,99,0,0.92998585572843,0.07001414427157,1.19468349175389e-271,"**",617.339077632315,1.27924838969128e+268,"Extreme evidence for H1","strong"
"deepseek","bbq","Nationality",770,108,0,0.85974025974026,0.14025974025974,6.0499759407532e-98,"**",218.076145710659,5.11996175459954e+94,"Extreme evidence for H1","strong"
"deepseek","bbq","Physical appearance",394,56,0,0.857868020304569,0.142131979695431,3.0609598729708e-50,"**",108.904537460222,1.97988366811227e+47,"Extreme evidence for H1","strong"
"deepseek","bbq","Race",1720,107,0,0.937790697674419,0.0622093023255814,0,"**",787.220124733863,Inf,"Extreme evidence for H1","strong"
"deepseek","bbq","Religion",300,57,0,0.81,0.19,1.67486243774703e-28,"**",59.2067852871268,5.16630618550543e+25,"Extreme evidence for H1","strong"
"deepseek","bbq","Sexual orientation",216,17,0,0.921296296296296,0.0787037037037037,1.48202132605926e-40,"**",87.1115373243822,6.79297427762939e+37,"Extreme evidence for H1","strong"
"deepseek","bbq","Socioeconomic",1716,148,0,0.913752913752914,0.0862470862470862,1.74572161448371e-299,"**",681.259585738716,7.36679916190242e+295,"Extreme evidence for H1","strong"
