"model","dataset","category","n_ours","n_paper","ss_ours","ss_paper","ss_delta","ebt_ours","ebt_paper","same_significance","bf10","bf","log10_bf_ours","log10_bf_paper","log10_bf_delta","dir_ours","dir_paper","same_direction","evid_ours","evid_paper"
"chatgpt","crows_en","Age",91,91,0.802197802197802,0.5934,0.208797802197802,5.00949105344562e-09,0.0929,FALSE,5696713.21871754,0.632,6.75562435695652,-0.199282921717615,6.95490727867414,"H1","H0",FALSE,"Extreme evidence for H1","Anecdotal evidence for H0"
"chatgpt","crows_en","Disability",65,65,0.830769230769231,0.5846,0.246169230769231,6.0275390343094e-08,0.215,FALSE,624524.195069058,0.386,5.79554926830092,-0.413412695328245,6.20896196362917,"H1","H0",FALSE,"Extreme evidence for H1","Anecdotal evidence for H0"
"chatgpt","crows_en","Gender",320,320,0.759375,0.525,0.234375,3.44659061020429e-21,0.402,FALSE,2631965154740462080,0.104,18.4202801352443,-0.98296666070122,19.4032467959455,"H1","H0",FALSE,"Extreme evidence for H1","Moderate evidence for H0"
"chatgpt","crows_en","Nationality",216,216,0.810185185185185,0.6065,0.203685185185185,6.57782129158912e-21,0.00213,TRUE,1821804152556308224,11.6,18.2605016876558,1.06445798922692,17.1960436984289,"H1","H1",TRUE,"Extreme evidence for H1","Strong evidence for H1"
"chatgpt","crows_en","Physical appearance",71,72,0.887323943661972,0.6111,0.276223943661972,1.02713642780483e-11,0.0764,FALSE,3082416055.25345,0.856,9.4888912581026,-0.0675262353228468,9.55641749342545,"H1","H0",FALSE,"Extreme evidence for H1","Anecdotal evidence for H0"
"chatgpt","crows_en","Race",505,505,0.772277227722772,0.5783,0.193977227722772,5.30094433781366e-36,0.000547,TRUE,1.05429229087015e+33,255,33.0229610309088,2.40654018043396,30.6164208504748,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"chatgpt","crows_en","Religion",111,111,0.927927927927928,0.7156,0.212327927927928,3.68152823993855e-22,7.73e-06,TRUE,52499337232775266304,3800,19.720153820778,3.57978359661681,16.1403702241612,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"chatgpt","crows_en","Sexual orientation",93,93,0.827956989247312,0.5604,0.267556989247312,9.62977695727286e-11,0.294,FALSE,276661941.44329,0.252,8.44194942022522,-0.598599459218456,9.04054887944368,"H1","H0",FALSE,"Extreme evidence for H1","Moderate evidence for H0"
"chatgpt","crows_en","Socioeconomic",190,190,0.847368421052632,0.5842,0.263168421052631,2.23485205958232e-23,0.0243,TRUE,5.69635322862902e+20,1.34,20.7555969118943,0.127104798364808,20.6284921135294,"H1","H1",TRUE,"Extreme evidence for H1","Anecdotal evidence for H1"
"deepseek","crows_en","Age",91,91,0.659340659340659,0.956,-0.296659340659341,0.00311268984839375,2.26e-21,TRUE,13.6195015640462,1.01e+19,1.13416121389502,19.0043213737826,-17.8701601598876,"H1","H1",TRUE,"Strong evidence for H1","Extreme evidence for H1"
"deepseek","crows_en","Disability",65,65,0.769230769230769,0.8615,-0.0922692307692308,1.57170298527394e-05,2.05e-09,TRUE,2695.56626309248,17500000,3.43065001223281,7.2430380486863,-3.81238803645349,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"deepseek","crows_en","Gender",320,320,0.578125,0.9344,-0.356275,0.0060721343720237,4.09e-64,TRUE,3.4877658863014,1.61e+61,0.542547325543853,61.2068258760318,-60.664278550488,"H1","H1",TRUE,"Moderate evidence for H1","Extreme evidence for H1"
"deepseek","crows_en","Nationality",216,216,0.694444444444444,0.9491,-0.254655555555556,1.07385367523462e-08,1.85e-47,TRUE,1506261.62250132,5.21e+44,6.17790041100191,44.7168377232995,-38.5389373122976,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"deepseek","crows_en","Physical appearance",72,72,0.611111111111111,0.9444,-0.333288888888889,0.0763691546718314,4.62e-16,FALSE,0.856211617979121,6.28e+13,-0.0674188834977491,13.7979596437372,-13.8653785272349,"H0","H1",FALSE,"Anecdotal evidence for H0","Extreme evidence for H1"
"deepseek","crows_en","Race",508,505,0.675196850393701,0.9646,-0.289403149606299,2.10646655821011e-15,1.45e-120,TRUE,3558679416897.3,2.66e+117,12.5512888664125,117.424881636631,-104.873592770219,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"deepseek","crows_en","Religion",111,111,0.738738738738739,0.973,-0.234261261261261,4.90649023998363e-07,1.76e-28,TRUE,55263.2327454368,1.04e+26,4.74243628634307,26.0170333392988,-21.2745970529557,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"deepseek","crows_en","Sexual orientation",93,93,0.688172043010753,0.957,-0.268827956989247,0.000365795676962767,6.17e-22,TRUE,102.180847973165,3.6e+19,2.00936950246191,19.5563025007673,-17.5469329983054,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
"deepseek","crows_en","Socioeconomic",190,190,0.689473684210526,0.9526,-0.263126315789474,1.87120468776479e-07,9.83e-43,TRUE,99715.8110031057,1.11e+40,4.99876402578392,40.0453229787867,-35.0465589530027,"H1","H1",TRUE,"Extreme evidence for H1","Extreme evidence for H1"
